"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"RN3";"R_Array_SIP8";1;"4x180";;;
2;"J3,J1";"Pin_Header_Straight_2x05_Pitch2.54mm";2;"2x5 pin";;;
3;"C1,C2,C5,C8,C10,C12,C14,C16";"CP_Radial_D5.0mm_P2.00mm";8;"1uF";;;
4;"C3,C4,C6,C9,C11,C13,C15,C17";"C_Disc_D5.0mm_W2.5mm_P2.50mm";8;"0.1uF";;;
5;"J4,J5,J6,J7";"Pin_Header_Straight_1x02_Pitch2.54mm";4;"1x2";;;
6;"R9,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"4.7k";;;
7;"RN1";"R_Array_SIP5";1;"4x100K";;;
8;"RV1";"Potentiometer_Trimmer_Piher_PT-10h5_Vertical_Px5.0mm_Py5.0mm";1;"10K";;;
9;"U1";"Socket_Strip_Straight_1x04_Pitch2.54mm";1;"MQ-8";;;
10;"U2";"Socket_Strip_Straight_1x04_Pitch2.54mm";1;"MQ-4";;;
11;"U3";"Socket_Strip_Straight_1x04_Pitch2.54mm";1;"CO2";;;
12;"U4";"Socket_Strip_Straight_1x04_Pitch2.54mm";1;"O2";;;
13;"U5,U6";"DIP-14_W7.62mm";2;"7407";;;
14;"U8,U9,U10";"Socket_Strip_Straight_1x03_Pitch2.54mm";3;"RG LED";;;
15;"U12";"DIP-8_W7.62mm";1;"LM393";;;
16;"U13,U14";"Socket_Strip_Straight_1x10_Pitch2.54mm";2;"ads1x15";;;
17;"U15";"DIP-12_W10.16mm";1;"BME280";;;
18;"J2";"Socket_Strip_Straight_2x05_Pitch2.54mm";1;"2x5 socket";;;
19;"RN2";"R_Array_SIP8";1;"4x150";;;
20;"U7";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"RG LED";;;
